id,brand_id,main_image,title,description,price,weight,is_discounted,popularity,created_at,updated_at,buy_price,is_deleted,is_dark,full_description,state,original_title,composition,cover,crop_x,crop_y,crop_w,crop_h,set,sold_in_money_terms,allow_order_when_out_of_stock,sales_notes,yml_title,yml_description,bid,cbid,workflow_state
1,,4a22ce4203b71313.jpg,100 открыток с обложками популярных книг,"100 открыток с обложками мировых бестселлеров, словарей, книг по искусства и тп, выпущенных в 19-20 веке американским издательством Puinguin.
Идеальный вариант - накупить рамок в Икее, вставить туда эти картинки, сделать большую композицию из этих изображений с добавлением более крупных постеров и повесить все это на стену",1200,50,false,322,2012-08-18 19:24:01 +0400,2014-09-10 15:16:32 +0400,100,false,false,,published,,,,,,,,false,100.0,false,,,,0,0,approved
2,,cbb27d34061dde42.jpg,30 центов,Длина цепочки - 70 см,800,10,false,1,2012-08-18 19:24:01 +0400,2012-11-11 19:53:44 +0400,,true,false,,draft,,,,,,,,false,0.0,false,,,,0,0,approved
3,33,6dc52fb868f1def8.jpg,Бальзам для губ Carmex Cherry,"Самый популярный бальзам-блеск для губ Carmex с вишневым ароматом. Увлажняет, питает и защищает от обветривания. Изначально изготовление этих бальзамов - семейный домашний бизнес, так что все тесты проводились на членах семьи, не на животных :)
Объем - 10 гр.",350,10,false,7470,2012-08-18 19:24:01 +0400,2015-03-19 13:20:08 +0300,190,false,false,"",published,"","",,,,,,false,0.0,false,,,,0,0,approved
4,33,cf31369313f2393a.jpg,Бальзам для губ мятный Carmex ,"Самый популярный бальзам-блеск для губ Carmex с мятным ароматом. Увлажняет, питает и защищает от обветривания. Изначально изготовление этих бальзамов - семейный домашний бизнес, так что все тесты проводились на членах семьи, не на животных.

Объем - 10 гр.",350,10,false,20852,2012-08-18 19:24:01 +0400,2015-10-28 19:17:27 +0300,190,false,false,"Бальзам содержит 3 активных ингридиента: фенол - хороший антисептик, ускоряющий заживление, ментол - успокаивающий раздраженные участки кожи, камфору - обладающую лечебным и обезболивающим эффектом. 

Какао-масла, входящие в состав бальзама обладают прекрасным увлажняющим эффектом; ланолин, как один из лучших питательных жиров с отличной проникающей способностью, удерживает влагу и питает кожу.",published,Carmex Everyday Soothing Lip Balm,"Camphor (1.7%), Menthol (0.7%), Phenol (0.4%). Purpose: External Analgesic. External Analgesic. External Analgesic. Inactive Ingredients: Petrolatum, Lanolin, Cetyl Esters, Theobroma Cacao (Cocoa) Seed Butter, Mineral Oil, Beeswax, Flavor, Salicylic Acid.",,126,0,485,945,false,0.0,false,"","","",0,0,approved
5,,dd7e9046d2d1b87e.jpg,Coca-Cola," 

Сплав недрагоценных металлов
Размер - 2 см.
",100,10,false,2,2012-08-18 19:24:01 +0400,2012-11-23 13:54:13 +0400,,true,false,,draft,,,,,,,,false,0.0,false,,,,0,0,approved
6,,ae7bcb035c588355.jpg,Converse,"Сплав недрагоценных металлов
Размер - 3 см.
",200,250,false,15,2012-08-18 19:24:01 +0400,2012-11-11 19:53:52 +0400,,true,false,,draft,,,,,,,,false,0.0,false,,,,0,0,approved
7,,8b6046a871fceeb1.jpg,Hurraw! лайм,"Бальзамы для губ Hurraw!  производятся на небольшом почти домашнем производстве в Whitefish штат Montana в США. Все бальзамы производятся из чистого органического масла, которое добывается при температуре, позволяющей всем  веществам сохранять свои полезные свойства. 
При производстве не используются синтетические ароматизаторы - если это Hurraw! с ванилью, значит в нем использован настоящий растительный экстракт ванили, если с ароматом кофе - значит настоящие какао-бобы.
",300,10,false,946,2012-08-18 19:24:01 +0400,2014-04-21 12:06:55 +0400,,false,false,,published,,,,,,,,false,0.0,false,,,,0,0,approved
8,,5937ad09faf5d90a.jpg,Hurraw! с ароматом пряного чая,"Полностью натуральные бальзамы для губ Hurraw! &nbsp;производятся на небольшом почти домашнем производстве в Whitefish штат Montana в США. Все бальзамы производятся из чистого органического масла, которое добывается при температуре, позволяющей всем &nbsp;веществам сохранять свои полезные свойства. Такой способ получения масла дольше, но и результат в тыщу раз круче. При производстве не используются синтетические ароматизаторы - если это Hurraw! с ванилью, значит в нем использован настоящий растительный экстракт ванили, если с ароматом кофе - значит настоящие какао-бобы. Овальная форма упаковки создана специально для того, чтобы бальзам было удобнее носить в заднем кармане джинс. Благодаря технологиям производства и натуральным маслам и ингредиентам в составе, бальзам получается супер питательным, увлажняющим и заживляющим мелкие ранки. Он не липкий, не сильно блестящий, не резкий в аромате, долгий в плане жизни и удобный в ношении, короче, один из самых крутых бальзамов для губ
",300,10,false,2,2012-08-18 19:24:01 +0400,2014-01-20 15:07:46 +0400,,false,false,,published,,,,,,,,false,0.0,false,,,,0,0,approved
9,,6a1053ebcdb1e8b1.jpg,Hurraw! с молотыми кофейными зернами,"Полностью натуральные бальзамы для губ Hurraw! &nbsp;производятся на небольшом почти домашнем производстве в Whitefish штат Montana в США.
Все бальзамы производятся из чистого органического масла, которое добывается при температуре, позволяющей всем &nbsp;веществам сохранять свои полезные свойства. Такой способ получения масла дольше, но и результат в тыщу раз круче.
При производстве не используются синтетические ароматизаторы - если это Hurraw! с ванилью, значит в нем использован настоящий растительный экстракт ванили, если с ароматом кофе - значит настоящие какао-бобы.
Овальная форма упаковки создана специально для того, чтобы бальзам было удобнее носить в заднем кармане джинс. Благодаря технологиям производства и натуральным маслам и ингредиентам в составе, бальзам получается супер питательным, увлажняющим и заживляющим мелкие ранки. Он не липкий, не сильно блестящий, не резкий в аромате, долгий в плане жизни и удобный в ношении, короче, один из самых крутых бальзамов для губ
",300,10,false,8,2012-08-18 19:24:01 +0400,2014-01-20 15:07:46 +0400,,false,false,,published,,,,,,,,false,0.0,false,,,,0,0,approved
10,,dd8ef6f124dca51f.jpg,Hurraw! со сладкой лакрицей,"Из сладкой лакрицы в США, например, делают вкусные конфеты-тянучки, а у нас из корня делают настойку солодкового корня, которая славится своими медицинскими свойствами. Короче, это бальзам с заживляющими свойствами и сладковатым привкусом. 
Благодаря технологиям производства и натуральным маслам и ингредиентам в составе, бальзам получается супер питательным, увлажняющим и заживляющим мелкие ранки. Он не липкий, не сильно блестящий, не резкий в аромате, долгий в плане жизни и удобный в ношении, короче, один из самых крутых бальзамов для губ",300,10,false,885,2012-08-18 19:24:01 +0400,2014-04-21 12:06:56 +0400,,false,false,,published,,,,,,,,false,0.0,false,,,,0,0,approved
11,,e1e05383c220f492.jpg,Peace," 

Сплав недрагоценных металлов
Размер - 4 см.
",100,250,false,0,2012-08-18 19:24:01 +0400,2012-11-11 19:54:02 +0400,,true,false,,draft,,,,,,,,false,0.0,false,,,,0,0,approved
12,,e08fb98c1f1b7ae0.jpg,Peace and Love,"Сплав недрагоценных металлов
Длина цепочки - 60 см, размер подвески - 1.5 см


Длину цепочки можно сделать на ваш выбор - 50, 60 или 70 см. Если хотите изменить длину цепочки, сообщите, пожалуйста, об этом оператору при подтверждении заказа",500,10,false,0,2012-08-18 19:24:01 +0400,2012-11-11 19:54:08 +0400,,true,false,,draft,,,,,,,,false,0.0,false,,,,0,0,approved
13,,7eecc1f212983fa0.jpg,Ray Ban," 

Сплав недрагоценных металлов
Размер - 4 см.
",150,250,false,3,2012-08-18 19:24:01 +0400,2013-08-02 14:44:55 +0400,,true,false,,draft,,,,,,,,false,0.0,false,,,,0,0,approved
14,,d6290d5681602ac9.jpg,Ажурное матовое перышко," 

Сплав недрагоценных металлов
Длина цепочки - 50 см., размер подвески - 5 см.
",600,250,false,0,2012-08-18 19:24:01 +0400,2014-01-20 15:07:46 +0400,,false,false,,published,,,,,,,,false,0.0,false,,,,0,0,approved
